ind,file_loc,PC,inkArea,perimeter
1,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (1).BMP,14.771700712209,21480.2901960784,1996.82614379085
2,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (2).BMP,14.771700712209,21480.2901960784,1996.82614379085
3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (3).BMP,8.18045884555443,11623,1093.08235294118
4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (4).BMP,12.9369699189558,16482.9450980392,1636.96209150327
5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (5).BMP,14.1746499577751,17622.6274509804,1771.72549019608
6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (6).BMP,12.667892977345,18128.1803921569,1698.76862745098
7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (7).BMP,14.9475372112728,20292.7921568627,1952.36339869281
8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (8).BMP,9.03027585101784,11228.7176470588,1128.8091503268
9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (9).BMP,15.1336475037954,19667.5411764706,1933.97908496732
10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (10).BMP,8.55531599550211,14607.6196078431,1253.17777777778
11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (11).BMP,15.1140285923802,18546.2784313725,1876.82352941177
12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (12).BMP,9.72309638406739,12590.8235294118,1240.32156862745
13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (13).BMP,12.5093226704877,18487.062745098,1704.73071895425
14,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (14).BMP,15.0903476676076,21159.6431372549,2003.12810457516
15,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (15).BMP,11.4241071267737,15388.8588235294,1486.34379084967
16,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (16).BMP,9.03027585101784,11228.7176470588,1128.8091503268
