ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
68,Bed,3,"[3, 2, 1]",6,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (8).BMP,54.9075645219956,6384.12156862745,2098.80261437908
69,Banana,6,"[3, 2, 2, 2, 2, 2]",13,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (9).BMP,63.5243414948437,7385.44705882353,2428.08235294118
70,Finger,6,"[3, 2, 2, 2, 2, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (10).BMP,47.9390062011849,6184.41568627451,1930.18431372549
71,Ear,3,"[4, 2, 2]",8,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (11).BMP,31.3009775439846,4198.38039215686,1285.06405228758
72,Grass,5,"[2, 2, 2, 1, 1]",8,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (12).BMP,36.0171543805301,4667.83921568627,1453.50849673203
73,Bread,5,"[3, 2, 2, 2, 1]",10,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (13).BMP,38.4600740163824,4982.38039215686,1551.77385620915
74,Ring,4,"[3, 2, 2, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (14).BMP,51.9535085790693,6274.18039215686,2023.90849673203
75,House,5,"[3, 1, 2, 1, 2]",9,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (15).BMP,32.9072524323505,3831.45098039216,1258.72941176471
76,Sand,4,"[1, 2, 2, 1]",6,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (16).BMP,40.6712699919339,5076.35294117647,1610.7372549019599
77,Dog,3,"[2, 1, 2]",5,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (17).BMP,38.0999533304661,4720.46274509804,1503.3477124183
78,Moon,4,"[4, 1, 1, 2]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (18).BMP,40.3660008024384,5395.12156862745,1654.29673202614
79,Thread,6,"[2, 2, 2, 2, 2, 1]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (19).BMP,53.9267612028524,7097.01960784314,2193.03267973856
80,Rose,4,"[3, 1, 1, 2]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (20).BMP,37.8179096593539,5095.17647058824,1556.08496732026
81,Pillow,6,"[2, 2, 1, 1, 1, 4]",11,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (21).BMP,59.1916434989908,7605.29803921569,2378.44575163399
82,Toe,3,"[2, 1, 2]",5,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (22).BMP,51.9984131243191,6254.36470588235,2021.58300653595
83,Fish,4,"[3, 2, 1, 2]",8,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (23).BMP,28.5045001253842,3785.39607843137,1164.44052287582
84,Pear,4,"[2, 2, 2, 2]",8,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (24).BMP,27.4784452009673,3309.30196078431,1068.97908496732
85,Donkey,6,"[2, 1, 2, 3, 2, 2]",12,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (25).BMP,33.733493802065,4429.0862745098,1370.22745098039
86,Snow,4,"[1, 2, 1, 4]",8,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (26).BMP,48.2550547092008,6349.77254901961,1962.25490196078
87,Pie,3,"[2, 2, 2]",6,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (27).BMP,51.4295495559555,6840.79215686275,2102.63790849673
88,Car,3,"[1, 2, 2]",5,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (28).BMP,36.1952043290973,4977.67450980392,1504.67843137255
89,Flower,6,"[3, 1, 1, 4, 2, 2]",13,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (29).BMP,33.7789988971413,4715.19607843137,1414.74509803922
90,Island,6,"[1, 1, 1, 2, 2, 1]",8,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (30).BMP,36.5254879706459,4384.85098039216,1418.66666666667
91,Lake,4,"[1, 2, 3, 2]",8,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (31).BMP,28.1205125853976,3564.2,1122.27058823529
92,Star,4,"[1, 2, 2, 2]",7,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (32).BMP,45.5786528261908,5627.40392156863,1795.31111111111
93,Water,5,"[4, 2, 2, 2, 2]",12,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (33).BMP,50.9781174890576,6612.80784313726,2058.21045751634
94,Butter,6,"[3, 2, 2, 2, 2, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (34).BMP,55.0133870087365,6896.87450980392,2183.56078431372
95,Needle,6,"[3, 2, 2, 1, 1, 2]",11,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (35).BMP,67.14813325709,8347.92549019608,2654.06274509804
96,Feather,7,"[3, 2, 2, 2, 2, 2, 2]",15,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (36).BMP,35.9051123337333,4976.78039215686,1498.50196078431
97,Button,6,"[3, 2, 2, 2, 1, 2]",12,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (37).BMP,42.7289824791184,5412.05882352941,1704.69803921569
98,Shirt,5,"[1, 2, 2, 2, 2]",9,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (38).BMP,54.7093878060724,6839.45882352941,2168.43660130719
99,Rabbit,6,"[3, 2, 2, 2, 2, 2]",13,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (39).BMP,28.9523373658328,3515.68235294118,1130.97124183007
100,Doll,4,"[2, 1, 1, 1]",5,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (40).BMP,42.8951726972704,5067.56078431373,1652.75555555556
101,Sea,3,"[1, 2, 2]",5,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (41).BMP,37.1019755843541,4468.17647058824,1443.33986928105
102,Palm,4,"[2, 2, 1, 3]",8,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (42).BMP,43.1758634987561,5491.14509803922,1726.06405228758
103,Table,5,"[2, 2, 2, 1, 2]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (43).BMP,46.2558498065334,6144.75294117647,1889.90718954248
104,Book,4,"[3, 1, 1, 3]",8,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (44).BMP,41.084828510553,5155.34117647059,1631.4522875817
105,Radio,5,"[3, 2, 1, 2, 1]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (45).BMP,44.1294376042997,5597.63529411765,1761.86013071895
106,Ski,3,"[1, 3, 2]",6,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (46).BMP,42.7137464500189,5011.2431372549,1640.06666666667
107,Ball,4,"[3, 2, 1, 1]",7,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (47).BMP,42.7071908717988,5671.44705882353,1744.62614379085
108,Bird,4,"[3, 2, 2, 1]",8,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (48).BMP,26.5853116030778,3473.29019607843,1077.2
109,Sun,3,"[1, 2, 2]",5,2,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (49).BMP,41.5163025995503,4952.93333333333,1607.47973856209
110,Tree,4,"[2, 2, 2, 2]",8,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (50).BMP,49.8520693289187,5840.6862745098,1912.83921568627
111,Apple,5,"[3, 2, 2, 1, 2]",10,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (51).BMP,59.4596401958039,7435.87058823529,2357.12156862745
112,Garden,6,"[2, 2, 2, 1, 2, 2]",11,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (52).BMP,55.1215322771157,6821.74509803922,2173.76862745098
113,Frog,4,"[3, 2, 1, 2]",8,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (53).BMP,50.1229354538566,6074.45882352941,1956.03660130719
114,Cake,4,"[1, 2, 3, 2]",8,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (54).BMP,36.1327250661277,4389.83137254902,1411.81960784314
115,Toast,5,"[2, 1, 2, 1, 2]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (55).BMP,41.6720045314977,4804.07058823529,1586.1045751634001
116,Foot,4,"[3, 1, 1, 2]",7,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (56).BMP,27.8749317295589,3513.25490196078,1109.34509803922
117,Tooth,5,"[2, 1, 1, 2, 2]",8,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (57).BMP,37.3990146480387,4863.44705882353,1511.84444444444
118,Duck,4,"[2, 2, 1, 3]",8,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (58).BMP,37.8341459493638,4783.89803921569,1508.12679738562
119,Door,4,"[2, 1, 1, 2]",6,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (59).BMP,52.6370985972028,6808.6862745098,2122.1816993464
120,Chair,5,"[1, 2, 2, 2, 2]",9,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/2_Maurer_NYC_del//2_Word_ (60).BMP,37.0291399673645,4744.45490196078,1485.83267973856
